Category,Physics,Chemistry,Math,Qualified_For_Advanced
EWS,-2,37,-5,0
OBC,14,21,16,0
General,24,67,24,1
OBC,16,42,23,0
General,9,38,50,0
EWS,38,81,14,1
General,29,8,15,0
OBC,6,50,34,1
General,36,74,18,1
General,4,58,50,1
SC,48,29,36,1
OBC,37,57,41,1
OBC,44,71,51,1
SC,26,-10,44,1
SC,57,35,43,1
EWS,43,17,20,0
SC,36,18,15,1
OBC,48,100,29,1
OBC,53,38,32,1
General,10,66,45,1
General,50,88,25,1
SC,42,35,9,1
SC,47,74,39,1
General,59,63,61,1
OBC,7,53,-7,0
ST,41,43,19,1
OBC,68,29,28,1
General,6,4,3,0
OBC,28,87,37,1
General,40,24,13,0
OBC,36,34,40,1
General,28,16,16,0
OBC,55,52,37,1
OBC,43,40,31,1
EWS,19,39,9,0
OBC,1,47,16,0
General,49,46,31,1
OBC,51,56,20,1
General,60,57,-10,1
General,24,38,38,0
SC,12,15,50,1
OBC,27,17,36,0
OBC,41,21,16,0
General,4,48,54,1
ST,38,32,13,1
OBC,25,75,40,1
General,17,29,16,0
OBC,38,13,20,0
General,30,51,24,1
General,19,38,16,0
General,18,65,15,0
General,24,35,21,0
ST,75,16,19,1
EWS,16,75,22,1
OBC,24,-10,14,0
General,28,48,25,0
OBC,99,58,46,1
General,72,-10,22,0
General,58,80,40,1
EWS,49,39,29,1
OBC,58,52,26,1
ST,26,39,41,1
OBC,87,45,59,1
OBC,22,13,26,0
OBC,39,61,10,1
SC,31,2,32,1
General,48,38,17,0
General,13,52,39,0
General,66,68,31,1
General,65,25,23,1
OBC,67,82,10,1
OBC,23,6,21,0
EWS,43,27,28,1
OBC,22,30,24,0
General,67,28,25,1
SC,8,82,23,1
OBC,15,59,24,1
OBC,22,31,0,0
OBC,36,0,19,0
OBC,16,-7,51,0
OBC,13,52,47,1
General,18,54,37,1
General,13,6,50,0
General,28,38,25,0
General,22,60,22,0
EWS,40,6,60,1
OBC,-10,57,32,0
OBC,62,29,42,1
General,6,34,8,0
SC,51,35,46,1
SC,32,49,28,1
OBC,40,33,62,1
EWS,37,60,16,1
SC,0,34,39,1
OBC,40,38,38,1
General,45,74,46,1
General,46,32,36,1
OBC,25,47,45,1
SC,50,69,-3,1
EWS,41,28,25,1
OBC,47,41,24,1
EWS,28,53,25,1
General,70,25,10,1
SC,31,52,30,1
General,46,60,43,1
EWS,11,69,15,1
General,37,32,29,0
OBC,30,40,44,1
ST,77,19,23,1
OBC,17,37,-10,0
General,27,29,29,0
General,12,63,36,1
OBC,49,72,16,1
General,21,36,23,0
ST,25,43,21,1
EWS,51,18,28,1
EWS,45,28,19,1
General,21,52,46,1
General,16,27,49,0
ST,54,31,32,1
OBC,19,41,18,0
General,33,28,5,0
OBC,0,30,63,1
General,55,62,36,1
General,34,55,28,1
SC,17,49,46,1
General,59,40,36,1
General,-6,34,59,0
EWS,44,26,38,1
General,9,77,-8,0
ST,23,68,27,1
EWS,5,50,44,1
General,7,76,12,0
OBC,33,-10,14,0
General,25,21,45,0
EWS,34,45,14,1
EWS,51,20,58,1
OBC,44,55,35,1
General,5,47,29,0
General,29,36,20,0
OBC,28,33,10,0
OBC,25,36,42,1
SC,64,37,20,1
OBC,51,72,24,1
General,7,9,29,0
OBC,20,31,19,0
OBC,33,-10,15,0
General,46,70,7,1
OBC,38,43,-4,0
General,42,53,59,1
OBC,47,11,23,0
OBC,52,91,41,1
EWS,69,32,35,1
OBC,68,26,27,1
SC,11,60,25,1
General,59,75,19,1
OBC,22,63,34,1
General,40,65,26,1
OBC,28,17,35,0
OBC,8,44,40,1
OBC,-10,30,53,0
General,76,15,40,1
OBC,0,37,43,0
OBC,47,71,18,1
EWS,28,20,30,0
OBC,36,50,39,1
General,63,53,-5,1
OBC,35,20,13,0
OBC,16,50,32,1
SC,48,46,24,1
OBC,59,89,10,1
OBC,49,9,44,1
EWS,36,29,49,1
OBC,-10,31,11,0
OBC,41,17,24,0
EWS,45,58,40,1
General,88,52,37,1
OBC,24,38,27,0
General,35,33,12,0
General,25,31,15,0
SC,51,83,32,1
SC,61,24,38,1
OBC,57,98,46,1
SC,45,57,40,1
General,-7,31,6,0
OBC,27,24,16,0
EWS,73,8,16,1
General,-10,37,71,0
General,44,18,57,1
OBC,14,42,29,0
ST,29,-10,16,0
OBC,15,29,1,0
General,40,-9,28,0
General,7,35,43,0
EWS,59,20,42,1
General,64,44,11,1
General,5,87,23,1
General,34,17,18,0
SC,49,16,32,1
OBC,52,67,71,1
EWS,59,46,27,1
ST,30,43,11,1
General,26,34,24,0
OBC,5,25,25,0
General,40,23,35,0
General,44,23,40,1
General,51,-4,44,0
General,45,13,36,0
EWS,21,-6,7,0
General,46,23,-2,0
General,15,50,18,0
ST,7,66,17,1
SC,18,51,27,1
SC,17,15,6,0
ST,30,16,40,1
SC,62,-4,4,1
SC,55,19,43,1
EWS,21,74,25,1
OBC,78,37,22,1
OBC,34,36,27,1
EWS,41,45,14,1
SC,19,32,29,1
General,14,73,29,1
General,79,1,41,1
OBC,33,-1,45,0
General,2,19,18,0
OBC,41,28,38,1
EWS,26,52,49,1
EWS,48,50,63,1
EWS,29,62,57,1
General,41,69,65,1
OBC,31,30,13,0
OBC,44,54,36,1
EWS,28,31,22,0
General,43,73,45,1
OBC,77,23,49,1
General,32,87,24,1
OBC,42,39,35,1
General,60,12,24,0
General,9,37,54,0
OBC,4,51,44,1
OBC,3,67,61,1
SC,55,3,21,1
General,56,11,53,1
EWS,29,28,9,0
OBC,48,33,45,1
General,49,34,43,1
OBC,73,25,11,1
General,23,15,-3,0
General,14,17,41,0
General,43,55,32,1
EWS,39,91,18,1
SC,85,20,10,1
General,41,19,7,0
OBC,25,69,32,1
OBC,41,56,19,1
OBC,43,44,19,1
General,58,58,52,1
OBC,25,69,43,1
SC,37,33,-6,1
OBC,23,29,33,0
ST,20,74,22,1
OBC,35,80,27,1
ST,17,69,43,1
EWS,28,70,29,1
EWS,32,40,40,1
OBC,26,53,30,1
ST,51,29,6,1
OBC,43,10,16,0
General,30,38,12,0
General,23,52,33,1
General,20,34,22,0
General,53,27,42,1
General,64,18,21,0
General,30,45,30,1
General,31,22,43,0
OBC,53,25,22,1
General,75,12,50,1
EWS,14,6,37,0
OBC,18,39,3,0
ST,11,65,27,1
SC,46,22,34,1
OBC,25,68,23,1
ST,19,50,24,1
SC,40,11,38,1
General,55,49,27,1
OBC,61,33,19,1
General,42,56,19,1
OBC,19,24,45,0
General,63,36,22,1
General,41,61,27,1
EWS,49,51,52,1
SC,20,53,21,1
General,38,63,24,1
General,13,18,29,0
General,2,48,12,0
EWS,28,22,15,0
General,80,58,54,1
ST,65,70,55,1
OBC,63,60,12,1
General,51,10,64,1
ST,43,77,63,1
OBC,58,-10,-4,0
OBC,45,42,38,1
ST,22,45,53,1
OBC,56,33,52,1
General,47,41,71,1
EWS,35,24,19,0
SC,32,57,-8,1
General,26,52,39,1
SC,45,44,36,1
General,45,-9,22,0
OBC,31,36,28,1
General,8,35,47,0
General,47,50,-1,0
OBC,15,30,2,0
EWS,25,33,28,0
OBC,13,-10,46,0
General,11,52,56,1
General,39,25,-4,0
OBC,42,36,32,1
EWS,3,57,43,1
General,36,34,11,0
EWS,38,47,32,1
ST,40,77,8,1
General,24,65,39,1
OBC,33,31,13,0
General,48,61,-4,1
OBC,50,66,2,1
General,29,28,38,0
General,69,56,31,1
EWS,40,52,43,1
General,42,61,49,1
OBC,37,53,4,1
General,4,77,38,1
EWS,27,8,10,0
OBC,17,21,7,0
General,63,37,4,0
SC,59,19,39,1
SC,9,63,7,1
OBC,70,21,15,1
General,50,23,39,1
General,10,48,34,0
SC,12,39,22,1
OBC,64,8,7,0
General,33,10,18,0
General,21,40,55,1
General,27,70,-10,0
General,33,39,57,1
General,13,55,17,0
OBC,20,29,62,1
EWS,55,28,10,1
OBC,26,30,40,1
General,34,53,-8,0
SC,53,47,45,1
General,15,46,16,0
OBC,20,48,22,1
General,33,18,26,0
General,53,41,27,1
General,48,36,27,1
OBC,51,64,-10,1
EWS,25,25,31,0
ST,43,35,37,1
General,30,32,-8,0
OBC,20,23,19,0
General,8,35,36,0
OBC,24,34,25,0
General,45,72,14,1
OBC,0,93,22,1
General,49,74,33,1
SC,53,46,51,1
General,41,27,4,0
General,57,9,13,0
ST,31,6,34,1
General,39,51,30,1
General,37,38,55,1
OBC,26,52,43,1
OBC,61,31,54,1
EWS,22,43,32,1
ST,30,70,37,1
OBC,3,31,31,0
OBC,37,15,-3,0
OBC,49,45,27,1
OBC,46,5,32,0
General,7,47,22,0
OBC,39,38,13,1
OBC,18,33,17,0
OBC,29,35,34,1
General,54,52,23,1
General,38,41,18,0
SC,-10,50,9,0
SC,55,41,16,1
General,36,42,60,1
SC,31,50,50,1
General,-10,50,51,0
OBC,43,46,23,1
EWS,35,31,44,1
OBC,16,15,38,0
General,27,53,22,0
General,-9,5,38,0
OBC,25,62,22,1
General,97,21,30,1
General,16,69,6,0
General,6,44,37,0
General,51,75,57,1
OBC,27,71,23,1
OBC,33,72,45,1
General,6,71,19,0
OBC,31,57,52,1
General,29,42,63,1
OBC,27,32,36,1
OBC,7,74,29,1
General,34,44,13,0
General,20,44,42,1
General,8,48,27,0
EWS,26,32,24,0
General,46,4,26,0
OBC,27,25,40,1
General,33,40,12,0
OBC,43,4,16,0
OBC,44,51,12,1
OBC,48,62,41,1
OBC,70,9,16,1
OBC,67,50,12,1
General,37,31,-3,0
OBC,81,56,32,1
ST,51,40,25,1
SC,50,62,27,1
OBC,60,66,21,1
General,2,21,48,0
General,61,29,46,1
EWS,66,67,67,1
EWS,57,47,15,1
SC,37,43,39,1
OBC,33,19,22,0
ST,27,25,42,1
OBC,44,12,51,1
General,21,42,27,0
OBC,35,40,44,1
OBC,37,60,12,1
General,42,34,37,1
General,33,45,-3,0
OBC,23,17,41,0
SC,52,79,27,1
General,20,73,21,1
EWS,42,55,-10,0
ST,43,27,39,1
SC,37,54,24,1
General,39,0,15,0
General,29,22,44,0
General,32,44,57,1
EWS,52,18,13,0
ST,36,31,33,1
General,15,35,33,0
EWS,46,20,61,1
OBC,23,50,19,1
SC,31,46,53,1
General,28,49,15,0
General,24,31,35,0
EWS,51,61,9,1
SC,46,-1,20,1
SC,31,33,41,1
EWS,28,48,56,1
OBC,52,37,20,1
EWS,46,63,22,1
SC,25,22,30,1
OBC,38,57,35,1
OBC,64,12,37,1
OBC,7,61,45,1
General,31,51,24,1
General,-2,42,49,0
SC,27,35,18,1
OBC,44,19,28,1
OBC,34,15,18,0
OBC,61,80,19,1
OBC,41,-10,45,0
OBC,57,24,42,1
General,56,87,29,1
General,59,6,58,1
General,42,51,31,1
General,17,46,9,0
General,45,43,22,1
SC,42,40,23,1
OBC,56,36,33,1
General,28,24,30,0
OBC,27,43,37,1
OBC,40,24,23,0
OBC,42,62,31,1
OBC,68,-1,12,0
EWS,81,57,6,1
EWS,10,29,32,0
SC,6,-1,18,0
OBC,34,72,17,1
ST,51,-10,40,1
SC,72,16,14,1
General,21,72,17,1
General,37,5,32,0
OBC,58,35,26,1
General,16,43,17,0
SC,-7,21,-4,0
General,24,54,15,0
General,27,66,36,1
OBC,70,37,26,1
General,71,24,22,1
OBC,57,34,21,1
SC,45,36,31,1
OBC,17,43,39,1
EWS,31,45,11,0
SC,14,51,45,1
OBC,30,49,27,1
General,28,11,47,0
OBC,46,72,37,1
General,60,63,48,1
General,14,62,23,0
OBC,39,45,20,1
EWS,-10,74,31,1
General,36,27,-7,0
General,36,48,30,1
OBC,66,34,47,1
OBC,43,50,0,1
OBC,35,43,19,1
OBC,26,15,21,0
SC,57,44,37,1
OBC,56,12,9,0
General,43,18,14,0
OBC,40,91,39,1
EWS,49,61,14,1
OBC,24,64,28,1
General,36,10,48,0
General,22,40,26,0
General,61,38,8,1
General,12,21,27,0
SC,25,53,50,1
SC,41,21,7,1
EWS,9,22,32,0
General,25,77,27,1
OBC,21,23,23,0
SC,34,93,25,1
General,63,59,53,1
General,11,34,21,0
OBC,29,81,44,1
SC,-7,18,19,0
OBC,5,23,33,0
OBC,23,29,2,0
General,50,53,31,1
SC,17,3,28,0
General,13,44,39,0
OBC,45,37,46,1
SC,45,52,48,1
General,14,47,60,1
General,18,16,16,0
OBC,29,48,39,1
General,22,16,55,0
OBC,43,28,45,1
EWS,26,16,29,0
OBC,50,12,13,0
OBC,67,38,24,1
General,29,34,32,0
SC,29,55,17,1
OBC,52,70,24,1
SC,28,29,10,1
EWS,19,38,31,0
OBC,10,41,48,1
OBC,22,62,31,1
EWS,-9,26,16,0
OBC,31,94,29,1
EWS,48,31,76,1
General,54,47,20,1
ST,47,61,57,1
SC,6,79,23,1
General,77,37,51,1
ST,58,46,49,1
General,45,29,11,0
General,22,69,48,1
ST,27,56,68,1
ST,25,53,38,1
General,26,24,65,1
SC,49,-10,14,0
OBC,47,60,24,1
OBC,61,50,19,1
General,42,25,-2,0
OBC,41,27,23,1
ST,27,44,21,1
ST,42,51,9,1
General,41,57,-8,0
OBC,51,15,-2,0
SC,59,43,39,1
OBC,44,48,32,1
OBC,35,42,13,1
OBC,51,68,1,1
EWS,20,74,-10,0
SC,43,40,37,1
General,42,54,55,1
OBC,4,64,43,1
OBC,30,33,46,1
SC,32,43,28,1
General,16,68,8,0
EWS,57,36,5,1
SC,23,43,58,1
ST,27,12,9,1
SC,30,32,21,1
OBC,57,52,0,1
OBC,17,52,-5,0
General,51,27,43,1
General,4,66,54,1
OBC,45,12,43,1
OBC,31,51,37,1
General,37,58,15,1
OBC,54,53,52,1
General,24,69,15,1
General,37,40,19,0
General,5,20,24,0
OBC,64,13,18,1
ST,25,71,12,1
OBC,69,60,7,1
General,29,56,50,1
ST,26,17,31,1
SC,21,21,32,1
OBC,42,80,22,1
SC,23,54,27,1
EWS,41,35,54,1
SC,22,27,20,1
ST,19,100,34,1
OBC,34,74,39,1
EWS,61,53,37,1
OBC,49,59,45,1
General,17,26,27,0
General,23,74,11,1
ST,65,3,5,1
General,41,54,29,1
OBC,34,31,59,1
OBC,37,50,23,1
General,56,-9,15,0
OBC,49,47,-1,1
General,2,50,4,0
OBC,24,88,14,1
OBC,39,41,37,1
General,68,72,11,1
SC,60,35,51,1
EWS,18,45,42,1
EWS,-8,33,29,0
General,54,20,17,0
EWS,61,41,2,1
OBC,42,33,17,1
SC,18,50,35,1
SC,12,58,57,1
ST,24,35,29,1
General,39,59,37,1
General,36,50,36,1
General,60,59,26,1
OBC,39,49,45,1
OBC,36,39,46,1
OBC,40,61,2,1
OBC,21,24,56,1
OBC,26,25,37,0
OBC,37,44,11,1
OBC,31,-5,35,0
General,4,59,32,0
General,39,28,21,0
SC,25,54,44,1
General,32,19,38,0
EWS,20,54,36,1
OBC,45,74,18,1
OBC,25,35,12,0
OBC,41,58,11,1
OBC,-10,36,3,0
General,25,25,54,0
ST,47,45,58,1
General,19,18,-3,0
OBC,38,22,36,1
General,31,38,47,1
EWS,5,46,57,1
General,57,83,47,1
General,4,83,37,1
OBC,26,38,29,1
General,41,21,57,1
SC,47,35,54,1
OBC,25,48,17,1
General,45,31,38,1
ST,24,51,28,1
ST,9,29,29,1
General,12,21,57,0
General,46,-10,28,0
General,42,55,48,1
ST,57,60,72,1
OBC,19,61,18,1
General,41,41,36,1
OBC,43,26,48,1
OBC,29,58,26,1
OBC,41,6,42,0
EWS,27,65,38,1
SC,48,80,55,1
OBC,8,34,2,0
EWS,22,0,-10,0
OBC,68,46,39,1
General,11,71,12,0
General,28,38,11,0
General,62,42,26,1
EWS,52,12,19,0
General,52,-7,25,0
EWS,63,54,9,1
SC,30,46,46,1
OBC,30,69,57,1
OBC,24,51,12,0
General,9,37,38,0
OBC,73,28,50,1
EWS,3,58,5,0
OBC,21,30,60,1
General,74,68,-8,1
OBC,51,40,54,1
ST,33,23,2,1
General,5,10,50,0
OBC,11,47,28,0
General,60,29,28,1
OBC,69,34,46,1
General,53,6,33,0
OBC,31,-5,33,0
OBC,35,63,0,1
OBC,49,41,54,1
SC,20,29,56,1
General,32,41,12,0
OBC,62,42,53,1
SC,46,30,34,1
OBC,21,18,29,0
OBC,64,22,26,1
OBC,35,58,-8,0
EWS,46,12,15,0
General,33,79,24,1
EWS,44,27,37,1
OBC,27,45,51,1
OBC,30,76,12,1
General,60,58,36,1
OBC,15,56,27,1
SC,16,47,38,1
EWS,9,54,50,1
General,-1,33,33,0
General,27,47,4,0
General,26,34,60,1
OBC,44,52,23,1
OBC,48,69,28,1
SC,9,29,18,0
General,31,59,37,1
General,20,44,24,0
SC,33,37,19,1
General,14,39,17,0
General,43,11,48,0
SC,19,23,57,1
General,27,10,42,0
General,38,54,23,1
General,48,51,21,1
OBC,4,36,47,0
OBC,33,34,9,0
General,1,37,42,0
General,53,67,2,1
General,47,52,26,1
OBC,14,38,0,0
General,35,55,31,1
General,58,66,33,1
OBC,27,15,24,0
OBC,31,14,20,0
EWS,50,30,47,1
General,53,26,17,0
OBC,39,34,26,1
General,11,60,19,0
OBC,29,6,47,0
OBC,52,47,17,1
EWS,47,22,45,1
General,46,69,2,1
ST,77,26,37,1
OBC,54,54,32,1
OBC,51,26,40,1
OBC,19,-1,23,0
General,25,47,66,1
EWS,-10,56,11,0
OBC,20,40,36,1
ST,0,42,59,1
ST,39,66,18,1
EWS,27,27,-3,0
General,22,-4,40,0
General,46,13,69,1
General,40,82,6,1
SC,20,49,40,1
OBC,47,36,65,1
General,30,20,21,0
SC,37,-2,39,1
ST,20,33,23,1
OBC,40,36,23,1
OBC,19,18,36,0
EWS,42,32,19,1
SC,22,88,29,1
General,48,66,23,1
OBC,31,47,43,1
OBC,35,32,49,1
OBC,0,37,24,0
OBC,28,21,47,1
EWS,20,41,21,0
General,47,15,23,0
OBC,46,22,31,1
EWS,26,20,6,0
General,43,42,-7,0
EWS,-4,28,10,0
OBC,14,41,32,0
OBC,36,61,22,1
OBC,17,26,37,0
OBC,30,58,34,1
General,8,62,33,0
General,51,35,41,1
OBC,64,7,28,1
EWS,41,43,15,1
OBC,8,67,44,1
EWS,30,1,37,0
EWS,30,46,15,1
SC,46,40,29,1
OBC,2,-3,28,0
General,32,36,47,1
OBC,56,40,40,1
OBC,36,26,20,0
SC,47,40,39,1
SC,24,68,30,1
SC,34,39,15,1
SC,21,47,36,1
OBC,15,46,8,0
SC,47,18,15,1
SC,58,25,36,1
ST,45,78,22,1
General,9,77,32,1
OBC,60,31,18,1
General,11,62,42,1
General,38,19,48,1
SC,23,56,54,1
ST,39,6,14,1
General,43,31,17,0
General,43,20,41,0
SC,65,11,31,1
ST,79,-10,48,1
ST,12,2,41,1
ST,29,-9,41,1
OBC,39,44,30,1
General,0,9,-10,0
General,22,53,37,1
EWS,40,29,49,1
EWS,48,23,32,1
OBC,0,76,24,1
General,49,32,41,1
General,30,59,42,1
EWS,33,54,30,1
OBC,33,22,37,1
OBC,16,-2,51,0
OBC,33,31,58,1
OBC,14,39,-4,0
OBC,36,23,17,0
EWS,43,30,6,0
OBC,17,21,44,0
ST,50,56,29,1
ST,24,69,40,1
General,15,57,38,1
OBC,11,13,46,0
General,42,35,27,0
SC,6,30,3,0
OBC,61,58,28,1
General,44,37,13,0
OBC,32,51,56,1
OBC,28,73,-4,1
General,7,62,23,0
OBC,8,32,29,0
General,83,2,34,1
OBC,32,30,55,1
EWS,20,82,53,1
OBC,17,-10,16,0
OBC,40,32,41,1
OBC,28,33,43,1
OBC,42,39,45,1
OBC,19,19,25,0
OBC,8,48,25,0
General,38,56,37,1
General,57,33,7,0
EWS,49,36,19,1
General,63,11,10,0
OBC,4,42,35,0
General,31,25,40,0
General,21,8,30,0
General,65,76,6,1
General,13,62,22,0
OBC,25,48,29,1
ST,15,19,37,1
ST,42,55,49,1
General,38,55,66,1
OBC,20,5,56,0
General,55,34,27,1
OBC,23,54,40,1
General,16,11,28,0
OBC,54,78,75,1
General,22,56,39,1
OBC,19,56,21,1
General,0,43,32,0
OBC,51,27,21,1
General,54,30,16,0
OBC,50,54,42,1
General,11,31,27,0
EWS,10,29,21,0
OBC,0,44,23,0
SC,47,10,41,1
SC,80,32,25,1
General,42,17,24,0
ST,11,43,46,1
General,18,70,18,1
OBC,24,19,32,0
General,15,20,0,0
ST,12,59,25,1
SC,64,53,48,1
General,55,30,52,1
General,50,29,-4,0
OBC,13,62,-5,0
OBC,74,41,17,1
SC,31,84,24,1
OBC,47,34,52,1
SC,34,78,50,1
OBC,19,22,42,0
OBC,-3,81,53,1
General,35,60,33,1
OBC,26,36,37,1
SC,69,17,37,1
OBC,59,72,7,1
General,44,16,4,0
General,24,37,43,0
General,33,40,23,0
EWS,17,47,42,1
OBC,51,41,59,1
EWS,39,48,39,1
OBC,21,50,29,1
OBC,-8,62,-10,0
OBC,53,28,30,1
ST,50,73,57,1
OBC,31,18,13,0
General,48,29,10,0
OBC,7,78,52,1
General,18,96,25,1
SC,15,29,6,0
General,38,35,39,1
SC,3,38,26,1
OBC,44,27,6,0
SC,5,30,62,1
General,44,21,27,0
OBC,7,41,26,0
General,-7,39,18,0
General,27,64,27,1
SC,57,13,35,1
SC,47,44,-7,1
OBC,23,54,43,1
EWS,54,53,25,1
General,59,50,29,1
OBC,24,41,86,1
OBC,-1,54,56,1
General,26,40,54,1
OBC,23,57,36,1
SC,78,50,-10,1
SC,41,55,32,1
OBC,47,1,49,1
General,53,51,21,1
ST,91,40,33,1
OBC,24,45,19,0
EWS,39,52,45,1
ST,26,57,30,1
EWS,43,51,36,1
General,35,60,14,1
OBC,18,42,44,1
OBC,40,14,-2,0
OBC,44,16,38,1
SC,55,44,57,1
General,61,28,39,1
EWS,35,14,54,1
OBC,2,3,20,0
OBC,29,39,41,1
General,28,31,44,0
SC,76,20,24,1
General,29,30,38,0
EWS,54,1,33,0
OBC,53,80,-2,1
SC,-7,73,-10,0
ST,42,53,41,1
SC,57,48,-10,1
General,48,53,21,1
OBC,49,48,46,1
OBC,32,27,10,0
OBC,43,42,37,1
OBC,40,34,24,1
OBC,34,14,22,0
EWS,24,47,57,1
OBC,47,27,0,0
General,7,60,68,1
General,13,38,35,0
OBC,82,55,30,1
General,34,84,52,1
General,46,26,50,1
OBC,15,72,57,1
General,26,67,39,1
OBC,14,56,46,1
EWS,8,53,35,1
General,54,38,30,1
OBC,26,24,28,0
General,39,39,20,0
OBC,1,30,34,0
General,15,19,19,0
OBC,2,43,15,0
General,62,71,42,1
EWS,31,27,58,1
EWS,14,57,48,1
OBC,35,30,39,1
General,38,28,57,1
OBC,30,52,21,1
General,24,57,38,1
General,18,53,76,1
General,34,2,29,0
General,24,20,2,0
General,34,23,14,0
EWS,31,40,27,1
OBC,39,39,33,1
SC,37,46,3,1
General,16,67,49,1
SC,12,70,54,1
OBC,21,86,11,1
OBC,22,16,22,0
OBC,46,17,47,1
General,-10,32,2,0
OBC,0,53,30,0
EWS,28,21,15,0
OBC,84,18,38,1
OBC,35,29,20,0
General,14,61,49,1
OBC,22,49,39,1
General,18,28,27,0
EWS,19,21,24,0
General,26,26,69,1
OBC,53,36,39,1
OBC,38,-10,32,0
SC,16,35,49,1
General,83,42,21,1
OBC,-10,59,12,0
General,23,1,48,0
EWS,45,58,25,1
General,26,41,26,0
ST,49,25,2,1
OBC,32,48,33,1
EWS,27,35,23,0
SC,54,25,35,1
General,54,41,65,1
General,72,79,47,1
General,51,39,65,1
ST,14,26,20,1
General,22,83,15,1
General,35,25,27,0
EWS,35,25,50,1
OBC,37,0,27,0
General,27,33,17,0
OBC,9,43,38,1
OBC,11,28,26,0
General,46,38,38,1
OBC,28,24,31,0
ST,35,34,32,1
EWS,15,33,48,1
SC,38,36,11,1
OBC,0,67,43,1
EWS,34,19,9,0
OBC,28,12,28,0
OBC,24,11,44,0
General,38,2,20,0
General,68,35,30,1
OBC,40,10,39,0
General,32,-9,14,0
OBC,32,59,15,1
OBC,62,-10,18,0
General,50,-8,5,0
EWS,12,55,17,0
OBC,52,-10,9,0
EWS,47,17,45,1
ST,34,41,3,1
General,18,66,21,1
ST,31,31,40,1
General,73,31,15,1
OBC,42,81,38,1
OBC,60,44,28,1
General,36,53,33,1
General,60,60,3,1
General,55,24,35,1
General,61,65,33,1
OBC,59,54,47,1
General,1,48,34,0
OBC,54,39,33,1
General,36,48,30,1
ST,49,35,15,1
General,-3,48,46,0
OBC,40,46,27,1
OBC,22,59,50,1
ST,42,66,22,1
OBC,9,56,67,1
OBC,20,49,-5,0
OBC,51,24,26,1
OBC,5,44,33,0
ST,25,42,9,1
EWS,42,43,40,1
SC,67,39,14,1
EWS,43,39,4,0
EWS,18,40,21,0
OBC,47,72,29,1
General,35,71,39,1
EWS,63,69,11,1
General,42,31,14,0
OBC,12,54,31,1
OBC,14,0,23,0
EWS,83,30,18,1
General,10,59,23,0
SC,6,58,28,1
OBC,35,48,56,1
ST,-1,36,16,1
ST,62,40,-3,1
OBC,38,48,14,1
General,34,28,27,0
General,21,73,60,1
SC,1,34,3,0
ST,53,82,22,1
OBC,10,50,45,1
OBC,33,38,-1,0
General,19,10,45,0
OBC,45,30,27,1
General,46,50,78,1
General,36,54,7,0
General,6,61,16,0
General,29,68,40,1
OBC,-3,-2,34,0
OBC,35,54,26,1
OBC,41,53,40,1
OBC,0,35,31,0
General,31,55,31,1
General,37,36,7,0
General,37,76,17,1
OBC,37,29,69,1
SC,28,31,52,1
ST,38,96,35,1
OBC,16,46,14,0
EWS,68,17,4,0
OBC,26,14,30,0
OBC,35,17,29,0
OBC,71,32,55,1
General,44,-7,24,0
General,48,35,36,1
SC,0,34,24,0
ST,12,53,65,1
SC,33,45,86,1
EWS,31,45,21,1
General,9,74,17,0
OBC,40,51,21,1
General,-6,31,10,0
General,38,8,31,0
OBC,65,58,3,1
OBC,44,35,13,1
EWS,4,41,9,0
ST,22,76,20,1
General,39,87,51,1
OBC,37,17,1,0
OBC,53,6,47,1
General,58,59,46,1
General,35,41,17,0
General,29,47,40,1
OBC,-6,19,37,0
ST,42,19,35,1
SC,27,17,14,0
OBC,5,23,5,0
General,37,44,-2,0
OBC,37,61,13,1
OBC,61,41,18,1
General,15,58,37,1
SC,21,46,15,1
OBC,45,48,37,1
SC,3,59,36,1
SC,44,29,21,1
OBC,47,67,43,1
OBC,39,40,8,0
ST,35,57,29,1
General,56,36,27,1
OBC,43,40,39,1
OBC,4,22,20,0
OBC,36,11,62,1
General,11,41,23,0
General,19,65,30,1
OBC,44,52,63,1
General,13,56,42,1
General,73,73,33,1
ST,53,45,48,1
OBC,14,11,14,0
OBC,35,67,6,1
SC,35,-7,26,0
General,41,79,54,1
General,35,64,-2,0
ST,40,-1,37,1
General,40,52,29,1
General,39,42,45,1
OBC,45,92,54,1
EWS,22,15,3,0
General,19,55,39,1
OBC,45,-10,24,0
General,57,51,28,1
ST,11,6,24,0
OBC,17,58,21,1
ST,37,61,24,1
SC,21,64,54,1
ST,37,11,32,1
OBC,34,76,31,1
EWS,18,47,34,1
EWS,76,65,32,1
General,25,34,47,1
General,32,60,45,1
EWS,43,46,48,1
OBC,6,8,24,0
General,54,62,50,1
OBC,25,28,24,0
General,36,62,39,1
OBC,52,35,41,1
General,10,100,47,1
SC,21,22,0,0
SC,36,76,9,1
General,7,14,28,0
General,20,51,47,1
General,35,31,36,0
OBC,42,40,47,1
General,57,21,11,0
General,34,16,16,0
EWS,-7,46,43,0
ST,39,31,20,1
SC,21,46,32,1
SC,54,60,11,1
OBC,29,3,-4,0
OBC,39,54,46,1
SC,14,15,44,1
General,43,62,38,1
General,34,-10,6,0
General,51,19,61,1
General,35,45,41,1
OBC,59,16,37,1
General,16,35,9,0
EWS,53,1,23,0
OBC,59,52,37,1
OBC,26,29,41,1
General,27,39,35,0
General,35,54,18,1
General,44,51,39,1
